assetId,assetName,assetDesc
1,Cloud Computing: A Beginner's Guide,"A comprehensive introduction to cloud computing, covering the basics of what it is, how it works, and how to get started."
2,Cloud Architecture Patterns,"This book explores different cloud architecture patterns, from simple to complex, providing insights into how to design scalable systems."
3,Cloud Native Applications,"Learn how to develop, deploy, and manage cloud native applications, including containerization, microservices, and serverless computing."
4,Cloud Security: A Comprehensive Guide,"A complete guide to cloud security, covering the latest threats, best practices, and tools to secure your cloud environment."
5,Building Cloud-native Applications with Kubernetes,"This book explores how to build cloud-native applications with Kubernetes, including deploying and managing applications on a Kubernetes cluster."
6,Hybrid Cloud for Dummies,"A beginner's guide to hybrid cloud, including its benefits, challenges, and how to implement it."
7,Cloud-Based Applications: A Step-by-Step Guide,"This book provides a step-by-step guide to building and deploying cloud-based applications, including cloud infrastructure and platforms."
8,Cloud Computing for Data Science,"This book explores how cloud computing can be used for data science, including data storage, processing, and analysis in the cloud."
9,The Essential Guide to Cloud Computing,"An essential guide to cloud computing, covering everything from the basics to advanced topics such as cloud security and management."
10,Cloud Computing: The Future of IT,"This book explores the future of cloud computing, including emerging trends, new technologies, and the impact on the IT industry."
11,Cloud Foundry: The Definitive Guide,"A comprehensive guide on how to use and deploy applications using the Cloud Foundry platform, including scaling, security, and automation."
12,Kubernetes: A Comprehensive Guide,"An in-depth guide on how to deploy, manage, and scale containerized applications using Kubernetes, including best practices for orchestration and networking."
13,Cloud Application Development: A Practical Guide,"A practical guide to developing and deploying cloud applications, including design principles, deployment strategies, and testing methodologies."
14,Cloud Security and Privacy,"An overview of the challenges and best practices for securing and ensuring privacy in cloud computing, including encryption, access control, and compliance."
15,Building Secure and Reliable Cloud Applications,"A guide to designing and implementing secure and reliable cloud applications, including best practices for authentication, authorization, and data protection."
16,Cloud Computing: From Beginning to End,"A beginner's guide to cloud computing, including an overview of cloud architecture, deployment models, and popular cloud services such as AWS, Azure, and GCP."
17,Cloud Native Java,"A guide to developing and deploying cloud-native applications using Java and Spring, including containerization, microservices, and service discovery."
18,Cloud Data Warehousing: A Guide to Modern Data Analytics,"An overview of cloud-based data warehousing, including how to design, build, and manage data warehouses for modern data analytics."
19,Cloud Computing and Distributed Systems: A Survey,"A survey of cloud computing and distributed systems, including an overview of the history, current state, and future of cloud computing and its impact on distributed systems."
20,Building Cloud Native Applications with Spring Boot and Spring Cloud,"A guide to building cloud-native applications using Spring Boot and Spring Cloud, including microservices, containerization, and service discovery."
21,Cloud-Native Machine Learning,This book covers the concepts and techniques needed for developing and deploying cloud-native machine learning applications.
22,Cloud Operations: A Practical Guide,"This book provides practical guidance for managing cloud operations and helps to understand the challenges, best practices, and tools for cloud operations."
23,"Cloud Computing: Concepts, Technology & Architecture","This book provides an overview of cloud computing technology, concepts, and architecture with practical examples and case studies."
24,Cloud-Native Infrastructure,"This book teaches how to design, deploy, and manage infrastructure that is optimized for cloud-native applications."
25,Mastering Cloud Development using Microsoft Azure,This book provides in-depth knowledge of Microsoft Azure and helps to develop and deploy cloud applications using Azure services.
26,Cloud-Native Transformation: Practical Patterns for Innovation,This book provides practical patterns and strategies for transforming traditional applications into cloud-native applications.
27,Cloud Service Providers: An Overview,"This book provides an overview of various cloud service providers and their offerings, and helps to choose the right cloud service provider."
28,Cloud-Native Applications in a Containerized World,This book covers the basics of containerization and teaches how to develop and deploy cloud-native applications in a containerized environment.
29,Cloud-Native Architectures,"This book teaches the principles, patterns, and practices for designing and implementing cloud-native architectures."
30,Learning Cloud-Native Java,"This book teaches how to develop cloud-native applications using Java, Spring Boot, and Spring Cloud, and covers the basics of cloud-native application."
31,Migrating to the Cloud: A Guide for Business Leaders,"A comprehensive guide to help business leaders understand the benefits and challenges of migrating to the cloud. It covers topics such as cost savings, scalability, and security considerations."
32,Serverless Computing in AWS,"A practical guide to building serverless applications in AWS, covering topics such as Lambda functions, API Gateway, and DynamoDB. It includes examples and best practices for developing, deploying, and scaling serverless applications."
33,Cloud Computing for Enterprises: A Practical Guide,"A practical guide to help enterprises understand and implement cloud computing, covering topics such as cloud architectures, migration strategies, and security considerations. It includes case studies and best practices for successful cloud adoption."
34,Cloud-Native Continuous Integration and Delivery,"A guide to implementing continuous integration and delivery (CI/CD) in cloud-native environments, covering topics such as containerization, automation, and testing. It includes examples and best practices for building and deploying cloud-native applications."
35,Designing Cloud-Native Applications,"A guide to designing and building cloud-native applications, covering topics such as microservices, containers, and orchestration. It includes examples and best practices for building scalable, resilient, and secure cloud-native applications."
36,Cloud Computing and Big Data: Technologies and Applications,"A comprehensive guide to the intersection of cloud computing and big data, covering topics such as data storage, processing, and analytics. It includes case studies and best practices for building and deploying big data applications in the cloud."
37,Cloud Computing for Business,"A guide to understanding and implementing cloud computing in a business context, covering topics such as cost savings, scalability, and security considerations. It includes case studies and best practices for successful cloud adoption."
38,Building Microservices with ASP.NET Core and Kubernetes,"A guide to building microservices with ASP.NET Core and Kubernetes, covering topics such as containerization, service discovery, and load balancing. It includes examples and best practices for building scalable and resilient microservices."
39,Cloud-Native Python,"A guide to building cloud-native applications with Python, covering topics such as containerization, orchestration, and automation. It includes examples and best practices for building scalable and resilient cloud-native applications."
40,Cloud-Based Virtualization: A Comprehensive Guide,"A comprehensive guide to cloud-based virtualization, covering topics such as virtual machines, containers, and hypervisors. It includes examples and best practices for deploying and managing virtualized environments in the cloud."
41,Migrating to the Cloud: A Guide for Business Leaders,"This guide helps business leaders to understand the benefits and challenges of migrating to the cloud. It provides practical advice on how to plan, execute, and manage a successful cloud migration strategy."
42,Serverless Computing in AWS,"This book explores the concept of serverless computing and how it can be used in AWS. It covers the basics of AWS Lambda, API Gateway, and other related services. It also provides examples of how to build serverless applications using AWS."
43,Cloud Computing for Enterprises: A Practical Guide,"This guide is aimed at helping enterprises understand cloud computing and how to adopt it in their operations. It covers cloud deployment models, cloud service models, and cloud migration strategies. It also provides best practices for cloud security and compliance."
44,Cloud-Native Continuous Integration and Delivery,"This book provides a practical guide on how to build, test, and deploy cloud-native applications using continuous integration and delivery (CI/CD) practices. It covers tools such as Jenkins, Git, and Docker, and also provides examples of CI/CD pipelines."
45,Designing Cloud-Native Applications,"This book explores the principles and best practices for designing cloud-native applications. It covers topics such as microservices architecture, containerization, and cloud deployment. It also provides case studies of companies that have successfully implemented cloud-native applications."
46,Cloud Computing and Big Data: Technologies and Applications,"This book covers the intersection of cloud computing and big data. It explores the different technologies and platforms used in big data analytics in the cloud, such as Hadoop and Spark. It also provides examples of real-world applications of cloud-based big data analytics."
47,Cloud Computing for Business,"This guide provides an introduction to cloud computing for business professionals. It covers cloud deployment models, cloud service models, and cloud migration strategies. It also provides examples of how cloud computing can benefit businesses of all sizes."
48,Building Microservices with ASP.NET Core and Kubernetes,"This book provides a practical guide on how to build microservices using ASP.NET Core and Kubernetes. It covers topics such as containerization, service discovery, and load balancing. It also provides examples of how to deploy and manage microservices in Kubernetes."
49,Cloud-Native Python,"This book explores the use of Python in cloud-native application development. It covers topics such as microservices architecture, containerization, and cloud deployment. It also provides examples of how to build cloud-native applications using Python and related tools."
50,Cloud-Based Virtualization: A Comprehensive Guide,"This guide provides a comprehensive overview of cloud-based virtualization. It covers topics such as virtualization technologies, cloud deployment models, and virtualization security. It also provides examples of how to deploy and manage virtualized infrastructure in the cloud."
51,Building Microservices on AWS,"Learn how to design and deploy microservices-based applications on the AWS cloud platform using various AWS services such as EC2, ECS, Lambda, and more."
52,Azure Machine Learning Cookbook,"Discover advanced machine learning techniques and implement them using Azure Machine Learning Studio, including regression, classification, and more."
53,GCP for Data Scientists,"Learn how to use Google Cloud Platform (GCP) to implement and deploy machine learning models, perform data analysis, and create data pipelines."
54,Serverless Applications with AWS Lambda,Explore the benefits of serverless computing and how to build and deploy serverless applications on AWS Lambda using various programming languages.
55,Securing Cloud Native Applications,Learn how to design and implement security strategies to protect cloud-native applications and infrastructure from various cyber threats and attacks.
56,AWS Certified Advanced Networking Official Study Guide,Prepare for the AWS Certified Advanced Networking exam and learn about advanced networking concepts and services on the AWS platform.
57,Practical Cloud Security,"Learn how to implement and manage security controls and strategies for cloud-based environments, including identity and access management, encryption, and more."
58,Google Cloud Platform for Developers,"Learn how to use Google Cloud Platform (GCP) to build scalable and reliable applications using various GCP services, including Compute Engine, Kubernetes Engine, and more."
59,DevOps with Azure,"Learn how to implement DevOps practices and tools using Azure DevOps, including continuous integration and delivery (CI/CD), automation, and more."
60,AWS Certified Solutions Architect Associate Exam Prep,"Prepare for the AWS Certified Solutions Architect Associate exam and learn about various AWS services, including EC2, S3, RDS, and more."
